game_index,moves,termination_reason,winner
0,60,move_cap,draw
1,14,king_exploded,b
2,26,king_exploded,b
3,60,move_cap,draw
4,60,move_cap,draw
5,6,checkmate,b
6,60,move_cap,draw
7,12,king_exploded,b
8,56,king_exploded,b
9,60,move_cap,draw
10,14,king_exploded,b
11,60,move_cap,draw
12,60,move_cap,draw
13,60,move_cap,draw
14,6,checkmate,b
15,60,move_cap,draw
16,12,king_exploded,b
17,36,king_exploded,b
18,60,move_cap,draw
19,26,checkmate,b
20,60,move_cap,draw
21,60,move_cap,draw
22,60,move_cap,draw
23,60,move_cap,draw
24,60,move_cap,draw
25,60,move_cap,draw
26,60,move_cap,draw
27,14,king_exploded,b
28,18,checkmate,b
29,29,checkmate,w
30,37,checkmate,w
31,27,king_exploded,w
32,41,checkmate,w
33,44,king_exploded,b
34,60,move_cap,draw
35,13,checkmate,w
36,60,move_cap,draw
37,54,king_exploded,b
38,26,king_exploded,b
39,20,king_exploded,b
40,22,king_exploded,b
41,41,checkmate,w
42,44,king_exploded,b
43,60,move_cap,draw
44,38,checkmate,b
45,60,move_cap,draw
46,32,king_exploded,b
47,34,king_exploded,b
48,50,king_exploded,b
49,60,move_cap,draw
50,60,move_cap,draw
51,60,move_cap,draw
52,60,move_cap,draw
53,60,move_cap,draw
54,54,king_exploded,b
55,42,king_exploded,b
56,46,king_exploded,b
57,32,king_exploded,b
58,52,checkmate,b
59,60,move_cap,draw
60,60,move_cap,draw
61,36,king_exploded,b
62,60,move_cap,draw
63,60,move_cap,draw
64,60,move_cap,draw
65,60,move_cap,draw
66,19,king_exploded,w
67,60,move_cap,draw
68,20,checkmate,b
69,14,king_exploded,b
70,60,move_cap,draw
71,36,checkmate,b
72,22,king_exploded,b
73,47,checkmate,w
74,29,checkmate,w
75,60,move_cap,draw
76,52,king_exploded,b
77,60,move_cap,draw
78,60,move_cap,draw
79,34,checkmate,b
80,18,king_exploded,b
81,60,move_cap,draw
82,33,checkmate,w
83,60,move_cap,draw
84,12,king_exploded,b
85,60,move_cap,draw
86,16,king_exploded,b
87,21,checkmate,w
88,60,move_cap,draw
89,33,king_exploded,w
90,25,king_exploded,w
91,25,king_exploded,w
92,6,checkmate,b
93,60,move_cap,draw
94,49,king_exploded,w
95,21,checkmate,w
96,41,king_exploded,w
97,33,king_exploded,w
98,26,king_exploded,b
99,25,king_exploded,w
100,25,king_exploded,w
101,6,checkmate,b
102,60,move_cap,draw
103,41,king_exploded,w
104,21,checkmate,w
105,35,king_exploded,w
106,33,king_exploded,w
107,60,move_cap,draw
108,60,move_cap,draw
109,46,checkmate,b
110,26,king_exploded,b
111,15,king_exploded,w
112,60,move_cap,draw
113,16,king_exploded,b
114,60,move_cap,draw
115,18,king_exploded,b
116,60,move_cap,draw
117,60,move_cap,draw
118,14,king_exploded,b
119,60,move_cap,draw
120,60,move_cap,draw
121,6,checkmate,b
122,60,move_cap,draw
123,12,king_exploded,b
124,60,move_cap,draw
125,60,move_cap,draw
126,14,king_exploded,b
127,60,move_cap,draw
128,60,move_cap,draw
129,60,move_cap,draw
130,6,checkmate,b
131,60,move_cap,draw
132,12,king_exploded,b
133,60,move_cap,draw
134,60,move_cap,draw
135,26,checkmate,b
136,12,checkmate,b
137,60,move_cap,draw
138,38,king_exploded,b
139,60,move_cap,draw
140,60,move_cap,draw
141,60,move_cap,draw
142,60,king_exploded,b
143,14,king_exploded,b
144,40,checkmate,b
145,34,king_exploded,b
146,60,move_cap,draw
147,14,king_exploded,b
148,60,move_cap,draw
149,60,move_cap,draw
150,18,king_exploded,b
151,60,move_cap,draw
152,12,king_exploded,b
153,34,king_exploded,b
154,60,move_cap,draw
155,14,king_exploded,b
156,60,move_cap,draw
157,60,move_cap,draw
158,34,king_exploded,b
159,18,king_exploded,b
160,60,move_cap,draw
161,12,king_exploded,b
162,34,king_exploded,b
163,60,move_cap,draw
164,44,king_exploded,b
165,60,move_cap,draw
166,60,move_cap,draw
167,60,move_cap,draw
168,60,move_cap,draw
169,36,checkmate,b
170,60,move_cap,draw
171,16,king_exploded,b
172,12,king_exploded,b
173,60,move_cap,draw
174,5,checkmate,w
175,60,move_cap,draw
176,55,checkmate,w
177,5,checkmate,w
178,5,checkmate,w
179,41,checkmate,w
180,5,checkmate,w
181,5,checkmate,w
182,5,checkmate,w
183,60,move_cap,draw
184,7,checkmate,w
185,5,checkmate,w
186,5,checkmate,w
187,41,checkmate,w
188,5,checkmate,w
189,5,checkmate,w
190,5,checkmate,w
191,5,checkmate,w
192,60,move_cap,draw
193,32,king_exploded,b
194,5,checkmate,w
195,58,king_exploded,b
196,60,move_cap,draw
197,60,move_cap,draw
198,60,move_cap,draw
199,43,king_exploded,w
200,7,checkmate,w
201,60,move_cap,draw
202,24,king_exploded,b
203,60,move_cap,draw
204,60,move_cap,draw
205,14,king_exploded,b
206,22,king_exploded,b
207,60,move_cap,draw
208,60,move_cap,draw
209,6,checkmate,b
210,12,king_exploded,b
211,20,checkmate,b
212,60,move_cap,draw
213,14,king_exploded,b
214,22,king_exploded,b
215,60,move_cap,draw
216,60,move_cap,draw
217,6,checkmate,b
218,60,move_cap,draw
219,12,king_exploded,b
220,60,move_cap,draw
221,60,move_cap,draw
222,26,checkmate,b
223,60,move_cap,draw
224,60,move_cap,draw
225,60,move_cap,draw
226,60,move_cap,draw
227,60,move_cap,draw
228,60,move_cap,draw
229,59,king_exploded,w
230,14,king_exploded,b
231,60,move_cap,draw
232,60,move_cap,draw
233,60,move_cap,draw
234,13,checkmate,w
235,50,king_exploded,b
236,26,king_exploded,b
237,38,checkmate,b
238,6,checkmate,b
239,60,move_cap,draw
240,46,checkmate,b
241,60,move_cap,draw
242,13,checkmate,w
243,46,king_exploded,b
244,26,king_exploded,b
245,38,checkmate,b
246,6,checkmate,b
247,24,checkmate,b
248,60,move_cap,draw
249,46,checkmate,b
250,60,move_cap,draw
251,21,king_exploded,w
252,60,move_cap,draw
253,60,move_cap,draw
254,60,move_cap,draw
255,60,move_cap,draw
256,60,move_cap,draw
257,60,move_cap,draw
258,10,king_exploded,b
259,52,checkmate,b
260,14,checkmate,b
261,21,checkmate,w
262,60,move_cap,draw
263,14,king_exploded,b
264,60,move_cap,draw
265,21,checkmate,w
266,42,king_exploded,b
267,6,checkmate,b
268,60,move_cap,draw
269,12,king_exploded,b
270,60,move_cap,draw
271,14,king_exploded,b
272,60,move_cap,draw
273,21,checkmate,w
274,42,king_exploded,b
275,6,checkmate,b
276,60,move_cap,draw
277,12,king_exploded,b
278,21,checkmate,w
279,60,move_cap,draw
280,26,checkmate,b
281,60,move_cap,draw
282,60,move_cap,draw
283,60,move_cap,draw
284,60,move_cap,draw
285,60,move_cap,draw
286,60,move_cap,draw
287,60,move_cap,draw
288,14,king_exploded,b
289,18,checkmate,b
290,29,checkmate,w
291,60,move_cap,draw
292,37,checkmate,w
293,27,king_exploded,w
294,41,checkmate,w
295,44,king_exploded,b
296,60,move_cap,draw
297,13,checkmate,w
298,60,move_cap,draw
299,54,king_exploded,b
300,20,king_exploded,b
301,22,king_exploded,b
302,41,checkmate,w
303,44,king_exploded,b
304,60,move_cap,draw
305,38,checkmate,b
306,60,move_cap,draw
307,32,king_exploded,b
308,60,move_cap,draw
309,44,king_exploded,b
310,43,king_exploded,w
311,48,checkmate,b
312,60,move_cap,draw
313,60,move_cap,draw
314,60,move_cap,draw
315,54,king_exploded,b
316,60,move_cap,draw
317,46,king_exploded,b
318,32,king_exploded,b
319,52,checkmate,b
320,60,move_cap,draw
321,20,checkmate,b
322,60,move_cap,draw
323,34,king_exploded,b
324,60,move_cap,draw
325,60,move_cap,draw
326,60,move_cap,draw
327,60,move_cap,draw
328,19,king_exploded,w
329,60,move_cap,draw
330,14,king_exploded,b
331,60,move_cap,draw
332,36,checkmate,b
333,22,king_exploded,b
334,42,king_exploded,b
335,29,checkmate,w
336,60,move_cap,draw
337,52,king_exploded,b
338,60,move_cap,draw
339,60,move_cap,draw
340,34,checkmate,b
341,18,king_exploded,b
342,60,move_cap,draw
343,33,checkmate,w
344,60,move_cap,draw
345,12,king_exploded,b
346,60,move_cap,draw
347,16,king_exploded,b
348,21,checkmate,w
349,23,king_exploded,w
350,23,king_exploded,w
351,27,king_exploded,w
352,31,king_exploded,w
353,60,move_cap,draw
354,6,checkmate,b
355,47,king_exploded,w
356,60,move_cap,draw
357,21,checkmate,w
358,23,king_exploded,w
359,27,checkmate,w
360,31,king_exploded,w
361,60,move_cap,draw
362,6,checkmate,b
363,60,move_cap,draw
364,60,move_cap,draw
365,21,checkmate,w
366,25,king_exploded,w
367,33,king_exploded,w
368,23,king_exploded,w
369,19,king_exploded,w
370,10,king_exploded,b
371,34,king_exploded,b
372,15,king_exploded,w
373,23,king_exploded,w
374,10,king_exploded,b
375,60,move_cap,draw
376,29,king_exploded,w
377,60,move_cap,draw
378,60,move_cap,draw
379,14,king_exploded,b
380,26,king_exploded,b
381,60,move_cap,draw
382,60,move_cap,draw
383,6,checkmate,b
384,60,move_cap,draw
385,12,king_exploded,b
386,60,move_cap,draw
387,60,move_cap,draw
388,14,king_exploded,b
389,60,move_cap,draw
390,60,move_cap,draw
391,6,checkmate,b
392,60,move_cap,draw
393,12,king_exploded,b
394,60,move_cap,draw
395,60,move_cap,draw
396,26,checkmate,b
397,60,move_cap,draw
398,60,move_cap,draw
399,60,move_cap,draw
400,60,move_cap,draw
401,60,move_cap,draw
402,60,move_cap,draw
403,60,king_exploded,b
404,14,king_exploded,b
405,40,checkmate,b
406,33,checkmate,w
407,60,move_cap,draw
408,14,king_exploded,b
409,60,move_cap,draw
410,50,king_exploded,b
411,33,checkmate,w
412,18,king_exploded,b
413,60,move_cap,draw
414,12,king_exploded,b
415,34,king_exploded,b
416,60,move_cap,draw
417,14,king_exploded,b
418,60,move_cap,draw
419,50,king_exploded,b
420,18,king_exploded,b
421,60,move_cap,draw
422,12,king_exploded,b
423,34,king_exploded,b
424,60,move_cap,draw
425,44,king_exploded,b
426,60,move_cap,draw
427,60,move_cap,draw
428,60,move_cap,draw
429,60,move_cap,draw
430,60,move_cap,draw
431,60,move_cap,draw
432,16,king_exploded,b
433,12,king_exploded,b
434,60,move_cap,draw
435,5,checkmate,w
436,60,move_cap,draw
437,55,checkmate,w
438,5,checkmate,w
439,5,checkmate,w
440,41,checkmate,w
441,5,checkmate,w
442,5,checkmate,w
443,5,checkmate,w
444,5,checkmate,w
445,60,move_cap,draw
446,7,checkmate,w
447,5,checkmate,w
448,5,checkmate,w
449,41,checkmate,w
450,5,checkmate,w
451,5,checkmate,w
452,5,checkmate,w
453,60,move_cap,draw
454,32,king_exploded,b
455,5,checkmate,w
456,58,king_exploded,b
457,60,move_cap,draw
458,60,move_cap,draw
459,60,move_cap,draw
460,43,king_exploded,w
461,7,checkmate,w
462,60,move_cap,draw
463,35,king_exploded,w
464,60,move_cap,draw
465,60,move_cap,draw
466,14,king_exploded,b
467,22,king_exploded,b
468,60,move_cap,draw
469,47,king_exploded,w
470,6,checkmate,b
471,60,move_cap,draw
472,12,king_exploded,b
473,20,checkmate,b
474,60,move_cap,draw
475,14,king_exploded,b
476,22,king_exploded,b
477,60,move_cap,draw
478,47,king_exploded,w
479,6,checkmate,b
480,12,king_exploded,b
481,60,move_cap,draw
482,60,move_cap,draw
483,26,checkmate,b
484,60,move_cap,draw
485,60,move_cap,draw
486,60,move_cap,draw
487,60,move_cap,draw
488,60,move_cap,draw
489,60,move_cap,draw
490,60,move_cap,draw
491,14,king_exploded,b
492,60,move_cap,draw
493,60,move_cap,draw
494,60,move_cap,draw
495,60,move_cap,draw
496,34,king_exploded,b
497,26,king_exploded,b
498,60,move_cap,draw
499,6,checkmate,b
500,29,king_exploded,w
501,60,move_cap,draw
502,44,king_exploded,b
503,60,move_cap,draw
504,60,move_cap,draw
505,30,king_exploded,b
506,26,king_exploded,b
507,43,king_exploded,w
508,6,checkmate,b
509,31,king_exploded,w
510,44,king_exploded,b
511,29,checkmate,w
512,28,king_exploded,b
513,60,move_cap,draw
514,60,move_cap,draw
515,26,king_exploded,b
516,60,move_cap,draw
517,60,move_cap,draw
518,60,move_cap,draw
519,10,king_exploded,b
520,50,checkmate,b
521,14,checkmate,b
522,21,checkmate,w
523,60,move_cap,draw
524,14,king_exploded,b
525,60,move_cap,draw
526,21,checkmate,w
527,46,king_exploded,b
528,6,checkmate,b
529,60,move_cap,draw
530,12,king_exploded,b
531,21,checkmate,w
532,60,move_cap,draw
533,14,king_exploded,b
534,60,move_cap,draw
535,21,checkmate,w
536,46,king_exploded,b
537,6,checkmate,b
538,60,move_cap,draw
539,12,king_exploded,b
540,60,move_cap,draw
541,26,checkmate,b
542,60,move_cap,draw
543,60,move_cap,draw
544,60,move_cap,draw
545,60,move_cap,draw
546,60,move_cap,draw
547,60,move_cap,draw
548,60,move_cap,draw
549,14,king_exploded,b
550,18,checkmate,b
551,23,king_exploded,w
552,60,move_cap,draw
553,60,move_cap,draw
554,56,king_exploded,b
555,20,king_exploded,b
556,23,king_exploded,w
557,60,move_cap,draw
558,31,king_exploded,w
559,35,checkmate,w
560,23,king_exploded,w
561,60,move_cap,draw
562,60,move_cap,draw
563,60,move_cap,draw
564,20,king_exploded,b
565,23,king_exploded,w
566,60,move_cap,draw
567,31,king_exploded,w
568,39,king_exploded,w
569,23,king_exploded,w
570,40,king_exploded,b
571,54,king_exploded,b
572,60,move_cap,draw
573,60,move_cap,draw
574,27,king_exploded,w
575,38,king_exploded,b
576,60,move_cap,draw
577,60,move_cap,draw
578,60,move_cap,draw
579,17,checkmate,w
580,29,king_exploded,w
581,60,move_cap,draw
582,49,checkmate,w
583,26,king_exploded,b
584,60,move_cap,draw
585,43,king_exploded,w
586,6,checkmate,b
587,15,king_exploded,w
588,27,king_exploded,w
589,17,checkmate,w
590,24,king_exploded,b
591,60,move_cap,draw
592,60,move_cap,draw
593,60,move_cap,draw
594,43,king_exploded,w
595,6,checkmate,b
596,25,king_exploded,w
597,59,king_exploded,w
598,29,king_exploded,w
599,60,move_cap,draw
600,60,move_cap,draw
601,60,move_cap,draw
602,39,king_exploded,w
603,41,king_exploded,w
604,60,move_cap,draw
605,49,king_exploded,w
606,60,move_cap,draw
607,35,king_exploded,w
608,13,king_exploded,w
609,60,move_cap,draw
610,37,checkmate,w
611,29,king_exploded,w
612,38,king_exploded,b
613,52,king_exploded,b
614,60,move_cap,draw
615,18,king_exploded,b
616,54,checkmate,b
617,12,king_exploded,b
618,60,move_cap,draw
619,25,checkmate,w
620,20,king_exploded,b
621,22,king_exploded,b
622,60,move_cap,draw
623,60,move_cap,draw
624,18,king_exploded,b
625,60,move_cap,draw
626,12,king_exploded,b
627,32,king_exploded,b
628,60,move_cap,draw
629,18,king_exploded,b
630,60,move_cap,draw
631,60,move_cap,draw
632,34,checkmate,b
633,10,king_exploded,b
634,60,move_cap,draw
635,60,king_exploded,b
636,26,checkmate,b
637,32,king_exploded,b
638,29,checkmate,w
639,60,move_cap,draw
640,21,checkmate,w
641,27,checkmate,w
642,60,move_cap,draw
643,60,move_cap,draw
644,60,move_cap,draw
645,13,checkmate,w
646,60,move_cap,draw
647,60,move_cap,draw
648,60,move_cap,draw
649,26,checkmate,b
650,16,king_exploded,b
651,60,move_cap,draw
652,60,move_cap,draw
653,54,checkmate,b
654,60,move_cap,draw
655,60,move_cap,draw
656,60,move_cap,draw
657,60,move_cap,draw
658,60,move_cap,draw
659,60,move_cap,draw
660,12,checkmate,b
661,60,move_cap,draw
662,60,move_cap,draw
663,60,move_cap,draw
664,60,move_cap,draw
665,29,checkmate,w
666,21,checkmate,w
667,60,move_cap,draw
668,60,move_cap,draw
669,15,king_exploded,w
670,50,king_exploded,b
671,13,checkmate,w
672,25,king_exploded,w
673,23,king_exploded,w
674,39,king_exploded,w
675,60,move_cap,draw
676,23,king_exploded,w
677,60,move_cap,draw
678,7,checkmate,w
679,25,king_exploded,w
680,13,checkmate,w
681,25,king_exploded,w
682,15,king_exploded,w
683,60,move_cap,draw
684,60,move_cap,draw
685,60,move_cap,draw
686,31,king_exploded,w
687,27,king_exploded,w
688,60,move_cap,draw
689,60,move_cap,draw
690,60,move_cap,draw
691,60,move_cap,draw
692,60,move_cap,draw
693,7,checkmate,w
694,23,king_exploded,w
695,60,move_cap,draw
696,60,move_cap,draw
697,60,move_cap,draw
698,37,checkmate,w
699,50,king_exploded,b
700,36,king_exploded,b
701,54,king_exploded,b
702,34,king_exploded,b
703,13,checkmate,w
704,60,move_cap,draw
705,60,move_cap,draw
706,49,king_exploded,w
707,20,king_exploded,b
708,16,king_exploded,b
709,36,king_exploded,b
710,54,king_exploded,b
711,34,king_exploded,b
712,41,king_exploded,w
713,60,move_cap,draw
714,60,move_cap,draw
715,60,move_cap,draw
716,22,checkmate,b
717,60,move_cap,draw
718,60,move_cap,draw
719,60,move_cap,draw
720,60,move_cap,draw
721,60,move_cap,draw
722,60,move_cap,draw
723,32,king_exploded,b
724,60,move_cap,draw
725,60,move_cap,draw
726,60,move_cap,draw
727,28,king_exploded,b
728,60,move_cap,draw
729,17,checkmate,w
730,60,move_cap,draw
731,60,move_cap,draw
732,17,king_exploded,w
733,60,move_cap,draw
734,21,checkmate,w
735,60,move_cap,draw
736,28,king_exploded,b
737,60,move_cap,draw
738,17,checkmate,w
739,60,move_cap,draw
740,60,move_cap,draw
741,17,king_exploded,w
742,60,move_cap,draw
743,21,checkmate,w
744,60,move_cap,draw
745,28,king_exploded,b
746,60,move_cap,draw
747,44,king_exploded,b
748,60,move_cap,draw
749,21,king_exploded,w
750,60,move_cap,draw
751,60,move_cap,draw
752,42,king_exploded,b
753,12,checkmate,b
754,60,move_cap,draw
755,60,move_cap,draw
756,37,checkmate,w
757,27,king_exploded,w
758,41,checkmate,w
759,60,move_cap,draw
760,60,move_cap,draw
761,13,checkmate,w
762,60,move_cap,draw
763,54,king_exploded,b
764,44,checkmate,b
765,20,king_exploded,b
766,22,king_exploded,b
767,41,checkmate,w
768,60,move_cap,draw
769,60,move_cap,draw
770,38,checkmate,b
771,60,move_cap,draw
772,32,king_exploded,b
773,34,king_exploded,b
774,30,king_exploded,b
775,60,move_cap,draw
776,60,move_cap,draw
777,60,move_cap,draw
778,49,king_exploded,w
779,60,move_cap,draw
780,42,king_exploded,b
781,60,move_cap,draw
782,60,move_cap,draw
783,29,king_exploded,w
784,15,king_exploded,w
785,32,king_exploded,b
786,15,king_exploded,w
787,60,move_cap,draw
788,60,move_cap,draw
789,22,king_exploded,b
790,21,king_exploded,w
791,29,king_exploded,w
792,60,move_cap,draw
793,15,king_exploded,w
794,32,king_exploded,b
795,60,move_cap,draw
796,60,move_cap,draw
797,60,move_cap,draw
798,22,king_exploded,b
799,19,king_exploded,w
800,29,king_exploded,w
801,60,move_cap,draw
802,40,king_exploded,b
803,15,king_exploded,w
804,13,king_exploded,w
805,60,move_cap,draw
806,60,move_cap,draw
807,57,king_exploded,w
808,60,move_cap,draw
809,15,king_exploded,w
810,11,king_exploded,w
811,60,move_cap,draw
812,37,king_exploded,w
813,60,move_cap,draw
814,11,king_exploded,w
815,38,king_exploded,b
816,60,move_cap,draw
817,44,checkmate,b
818,60,move_cap,draw
819,42,king_exploded,b
820,60,move_cap,draw
821,19,king_exploded,w
822,60,move_cap,draw
823,26,king_exploded,b
824,24,king_exploded,b
825,60,move_cap,draw
826,37,king_exploded,w
827,60,move_cap,draw
828,60,move_cap,draw
829,60,move_cap,draw
830,60,move_cap,draw
831,35,king_exploded,w
832,38,king_exploded,b
833,60,move_cap,draw
834,36,king_exploded,b
835,20,king_exploded,b
836,56,checkmate,b
837,31,king_exploded,w
838,60,move_cap,draw
839,40,king_exploded,b
840,60,move_cap,draw
841,49,checkmate,w
842,53,king_exploded,w
843,60,move_cap,draw
844,40,king_exploded,b
845,39,checkmate,w
846,49,checkmate,w
847,34,king_exploded,b
848,21,king_exploded,w
849,60,move_cap,draw
850,25,checkmate,w
851,53,king_exploded,w
852,39,checkmate,w
853,60,move_cap,draw
854,39,checkmate,w
855,49,checkmate,w
856,34,king_exploded,b
857,39,checkmate,w
858,60,move_cap,draw
859,25,checkmate,w
860,29,checkmate,w
861,40,checkmate,b
862,43,king_exploded,w
863,31,checkmate,w
864,60,move_cap,draw
865,60,move_cap,draw
866,27,king_exploded,w
867,53,king_exploded,w
868,40,king_exploded,b
869,22,king_exploded,b
